English	Standard	Silêmanî	Hewlêr	Mehabad	Sine
I told you, someone gave me appointment here.	عەرزم کردن زەلامێک مەوعیدی ئێرەی یاومەتێ.	عەرزم کردن زەلامێک مەوعیدی ئێرەی یاومەتێ.	عەرزم کردن زەلامەک مەوعیدی ئێرەی دامێ.	عەرزم کردن کابرایەک قەراری ئێرەی داومەتێ.	عەرزتانم کرد، کاورایک قەرار ئێرەیە داگە پێم.
Oh no, I can't stand it anymore, dear doctor.	کورە ئەی هاوار تەحەمولم نەماوە دکتۆر گیان	کورە ئەی هاوار تەحەمولم نەماوە دکتۆر گیان	کورە ئەی هاوار تەحەمولم نەمایە دکتۆر گیان	کورە ئەی هاوار تەحەمولم نەماوە دکتۆر گیان	کورە ئەی هاوار تەحەموڵم نەماگە دکتۆر گیان
I bring to you but don't move from here right now.	بۆت ئەهێنم بەڵام لێرە نەجووڵێن ئەها هەر ئێستا	بۆت ئەهێنم بەڵام لێرە نەجووڵێن ئەها هەر ئێستا	لۆت دەینم بەس لێرە نەجوولێن ئەها هەر ئێستا	بۆتان دەهێنم بەڵام لێرە نەجووڵێن ئەها هەر ئێستا	تێرم بۆت وەلێ لێرە نەجووڵن ئەها هەر ئیسە
OK but that is whose influence on the other one?	باشە ئەوە تەئسیراتی کامیانە لەسەر کامیان؟	باشە ئەوە تەئسیراتی کامیانە لەسەر کامیان؟	باشە ئەوە تەئسیراتی کیهانە لەسەر کیهان؟	باشە ئەوە تەئسیراتی کێهەیانە لە سەر کێهەیان؟	باشە ئەوە تەئسیرات کامیانە لە سەر کامیان؟
They like it. It's their desire and that's how it is.	حەزی لێ ئەکەن. هیوایەتیانە و ئاوانە.	حەزی لێ ئەکەن. هیوایەتیانە و ئاوانە.	حەزیان لێیە. هیوایەتیانە و ئەوهانە.	پێیان خۆشە. ئارزوویانە و وان.	حەزی لێ ئەکەن. ئارزوویانە و ئاوانە.
Until your acquaintance comes, take advantage of this golden time of yours.	تا ئەو ناسیاوەت دێ ئیستیفادە لەم وەقتە زێڕینەی خۆت بکە!	تا ئەو ناسیاوەت یە ئیستیفادە لەم وەقتە زێڕینەی خۆو بکە!	هەتا ئەو ناسیاوەت دێ ئیستیفادە لەو وەختە زێڕینەی خۆت بکە!	هەتا ئەو ناسراوەت دێ ئیستیفادە لەو وەختە زێڕینەی خۆت بکە!	تا ئەو ناسیاگتە تێ لەم وەختە تەڵایی خوەتە ئستفادە بکە!
I swear I don't have it.	بە چاوی تۆ پێم نییە	بە چاوی تۆ پێم نییە	بە چاوی تو پێم نییە	بە چاوی تۆ پێم نییە	بە چاو تۆ پێم نییە
Come on, now don't get mad!	دە توخوا وەرە شێت مەبە!	دە توخوا وەرە شێت مەبە!	دە تخوا وەرە شێت مەبە!	دە تخودا وەرە شێت مەبە!	دەی تخوا بێ شێت مەوە!
Well, this damn mobile phone has made my life hell.	وەڵاهی ئا ئەم مۆبایلە نەعلەتییە نییە ژیانی لێ کردووم بە جەهەنەم	وەڵاهی ئا ئەم مۆبایلە نەعلەتییە نییە ژیانی لێ کردووم بە جەهەنەم	وەڵاهی ئا ئەو مۆبایلە نەعلەتییە نییە ژیانێ لێ کردیمە بە جەهەننەم	وەڵاهی ئا ئەو مۆبایلە نەعلەتییەی نە ژیانی لێ کردووم بە جەهەنەم	وەڵا ئا ئەم مۆبایلە نەعلەتییە زندگیمی لێ کردگە بە جەهەنەم
But I need electricity for what?	ئاخر من کارەبام بۆ چییە؟	ئاخر من کارەبام بۆ چییە؟	ئاخر ئەمن کارەبام لۆ چییە؟	ئاخر ئەمن برقم بۆ چییە؟	ئاخر من بەرقم بۆ چەس؟
Come on, remove it, dear. Let it be on us, money doesn't matter?!	کورە دە لایبە، بێ قەزا بی. با عایدی خۆمان بێ، پارە کەی شتە؟!	کورە دە لایبە، بێ قەزا بی. با عایدی خۆمان بێ، پارە کەی شتە؟!	کورە دە لابە، مارت ئاوا بی. با عایدی مە بی، پارە کەنگی شتە؟!	کوڕە دە لایبە، ماڵتا. با میوانی خۆمان بێ، پووڵ کەنگێ شتە؟!	کورە دەی لایوە، ماڵتاوا. با مێمان خوەمان بێ، پووڵ کەی چتە؟!
No no, there is better than this.	نا نا لەمیش چاکتر هەیە	نا نا لەمیش چاکتر هەیە	نا نا لەویش چاکتر هەیە	نا نا لەوەش چاتر هەیە	نا نا لەمەیشە خاستر هەس
Nothing of it is like that of mine, man	هیچی وەکوو ئەوەی من نییە کاکە	هیچی وەکوو ئەوەی من نییە کاکە	هیچی وەچی ئەوەی من نییە کاکە	هیچی وەکوو ئەوی من نێ کاکە	هیچێکی وەک هینەکەی من نییە کاکە
But it's not one lock but ten locks. Why don't you hire a guardian? 	ئاخر یەک قفڵ نییە دە قفڵە. بۆ فەڕاشێ ناگرن؟!	ئاخر یەک قفڵ نییە دە قفڵە. بۆ فەڕاشێ ناگرن؟!	ئاخر یەک قفڵ نییە، دە قفڵە، لۆ فەڕاشی ناگرن؟!	ئاخە یەک قوفڵ نێ دە قوفڵە. بۆ فەڕاشێکی ناگرن؟!	ئاخر یەک قوفڵ نییە دە قوفڵە. بۆچە فەڕاشێ ناگرن؟!
No, he is also whining.	نە بابە ئەمیش ئەکڕووزێتەوە.	نە بابە ئەمیش ئەکڕووزێتەوە.	نا بابە ئەویش دەنووزێتەوە.	نە بابە ئەمەش دەکڕووزێتەوە.	نە باوا ئەمەیشە ئەکڕووزێتەو.
I'll give it to you anyway but write it in the notebook.	هەر ئەودەمێ بەڵام بینووسە لە دەفتەرەکەدا.	هەر ئەودەمێ بەڵام بینووسە لە دەفتەرەکەیا.	هەردەتدەمێ بەس بنووسە لە دەفتەرەکەی.	خۆ هەر دەتدەمێ بەڵام بینووسە دە دەفتەرەکەیدا.	خۆ هەر پێتی ئام وەلێ بینووسە لە دەفتەرەکا.
They send it, well done.	ناردیان ئای دەست خۆش	ناردیان ئای دەس خۆش	ناردیان ئەی دەست خۆش 	ناردیان ئای دەست خۆش	ناردیان ئای دەس خۆش
Sure, but why don't you bring canned meat? Canned meat is very delicious.	ئەی باشە بۆ گۆشتی قوتوو ناهێنی؟ زۆر خۆشە گۆشتی قوتوو.	ئەی باشە بۆ گۆشتی قوتوو ناهێنی؟ زۆر خۆشە گۆشتی قوتوو.	ئەدی باشە لۆ گۆشتی قۆدی ناینی؟ زۆر خۆشە گۆشتی قۆدی.	دە باشە بۆ گۆشتی قوتووی ناهێنی؟ زۆر خۆشە گۆشتی قوتوو.	ئەی باشە بۆ چە گۆشت قوتوو نایری؟ فرە خوەشە گۆشت قوتوو.
No, no, you know what?! It's not about praising and licking boots.	نا نا ئەزانی چی وەڵاهی مەسەلە پێدا هەڵان و ماستاو کردن نییە	نا نا ئەزانی چی وەڵاهی مەسەلە پیا هەڵان و ماستاو کردن نییە	نا نا دەزانی چ وەڵاهی مەسەلە پێهەردان و ماستاو کردن نییە	نا نا دەزانی چی، وەڵاهی مەسەلە پێدا هەڵدان و	نا نا ئەزانی چەس وەڵا مەسەلە هەڵکێشان و با کردنەو قول نییە
Oh my god, no way!	وەی وەی براڕۆ	وەی وەی براڕۆ	وەی وەی براڕۆ	وەی وەی براڕۆ	وەی وەی براڕۆ
OK you come. You said you need the municipality for what?	ئێ تۆ وەرە. وتت شارەوانیتان بۆ چییە؟	ئێ تۆ وەرە. وتت شارەوانیتان بۆ چییە؟	ئە ئەتو وەرە. گۆتت شارەوانیتان لۆ چییە؟	بەدی ئەتۆ وەرە. کوتت شارەداریتان بۆ چییە؟	باشە تۆ بێ. وتت شارەداریتان بۆ چەس؟
Perhaps he has slept again during the work	ناشێ دیسانەوە لە کاتی ئیشدا خەوتبێتەوە	ناشێ دیسانەوە لە کاتی ئیشا خەوتبێتەوە	نابێ دیسانەوە لەکاتی ئیشێ نوستبیتەوە	نابێ دیسانەوە لە کاتی کاردا نووستبێتییەوە	ناشێ هەمیسان لە وەخت کارا خەفتویتەو
None of it is ours.	هیچی ئی خۆمان نییە	هیچی ئی خۆمان نییە	هیچی ئی خۆمان نییە	هیچی ئی خۆمان نێ	هیچێکی هین خوەمان نییە
I swear I don't want it.	دە وەڵا نامەوێ	دە وەڵا نامەوێ	دە وەڵای نامەوێ	دە وەڵا نامهەوێ	دەی وەڵڵا نامگەرەک
Yes, he did it on purpose.	ئەر وەڵا بە دەستی ئەنقەز کردی	ئەر وەڵا بە دەستی ئەنقەز کردی	ئەرێ وەڵا بە قەستی کردی	ئەرێ وەڵڵا بە قەسدی کردی	ئەر وەڵا بە دەس ئەنقەز کردی
Daddy! Tell him.	باوکم! پێی بڵێ	باوکم! پێی بڵێ	بابم! پێی برێ	بابم! پێی بڵێی	باوکم! پێ بێژە
Sure but it's curious that there is strange information about you in here.	ئاوا بەڵام سەیرە مەعلووماتی زۆر عەجایبی لە سەر تۆ تیایە	ئاوا بەڵام سەیرە مەعلووماتی زۆر عەجایبی لە سەر تۆ تیایە	ئەوها بەس عەنتیکەیە مەعلووماتی زۆر عەجایبی لەسەر تو تێدایە	ئاوا بەڵام سەیرە مەعلووماتی زۆر عەجایبی لە سەر تۆ تیایە	ئاوا وەلێ سەیرە مەعلوومات فرە عەجایبی لە سەر تۆ تیا هەس
No, it turned out for us by coincidence	نا هەر بە سوتفە بۆ ئێمە دەرچوو	نا هەر بە سوتفە بۆ ئێمە دەرچوو	نا هەر بە سوتفە لۆمە دەرچوو	نە هەر بە شانسی بۆ مە دەرچوو	نە هەر بە شانسی بۆ ئێمە دەرچوو
Then go and tell the ministry of agriculture	دە بڕۆ بە دائیرەی زراعە بڵێ	دە بڕۆ بە دائیرەی زراعە بڵێ	دە بڕۆ بە دائیرەی زراعەی برێ	دە بڕۆ بە ئیدارەی کشاوەرزی بڵێ	دەی بچۆ بە ئدارەی کشاوەرزی بێژە
That the owner of the property fix that thingy.	ساحێب موڵکەکە چاکی کا ئەو هینە.	ساحێب موڵکەکە چاکی کا ئەو هینە.	ساحێب مرکەکە چاکی کا ئەو شتەی.	ساحیب موڵکەکە چاکی کا ئەو وانێکەی.	ساحێو موڵکەکە خاسی کا ئەو هینە.
Shut up! People are here. The doctor just came too.	وس هەتیو! خەڵک دانیشتووە. ئەوە دکتۆریش هات.	وس هەتیو! خەڵک دانیشتووە. ئەوە دکتۆریش هات.	وس هەتیم! خەرک دانیشتییە. ئەوە دکتۆریش هات.	وس هەتیو! خەڵک دانیشتووە. ئەوە دکتۆریش هات.	س هەتیم! خەڵک دانیشگە. ئەوە دکتوریش هات.
What don't you find?	چی نادۆزێتەوە؟	چی نادۆزێتەوە؟	چ نابینیتەوە؟	چ نابینێتەوە؟	چە نادۆزێتەو؟
On the other hand, they were saying that your blood sugar has dropped. 	لە لایەکی تر ئەیانوت شەکرەکەت دابەزیوە	لە لایەکی تر ئەیانوت شەکرەکەو دابەزیوە	لەلایەکی دیکە دەیانگۆت سوکەریت دابەزییە	لە لایەکی دی دەیانکوت قەندەکەت دابەزیوە	لە لایک تر ئەیانوت قەنەکەو هاتگە خوارەو
You and I have a talk later.	من و تۆش دوو قسە بکەین دوایی	من و تۆش دوو قسە بکەین دوایی	ئەمن و ئەتوش دوو قسەی بکەین دوایێ.	ئەمن و تۆش دوو قسەی بکەین دوایی	من و تویش دوو قسە بکەین دوایی
Oh! That is the thingy. I know, that is high cholesterol. 	ئۆ! ئەوە هینە. من ئەزانم، ئەوە کۆلستڕۆل بەرزە.	ئۆ! ئەوە هینە. من ئەزانم، ئەوە کۆلستڕۆل بەرزە.	ئۆ! ئەوە ئەو شتەیە. ئەمن دەزانم، ئەوە کۆلستڕۆلی برندە.	ئۆ! ئەوە وانێکە. ئەمن دەزانم، ئەوە کۆلستڕۆل بەرزە.	ئا! ئەوە هینە. من ئەزانم، ئەوە کۆڵستڕۆڵ ها بانەو.
Definitely, he won't forget.	تەبعەن بیری ناچێتەوە.	تەبعەن بیری ناچێتەوە.	تەبعەن لە بیری ناچتەوە.	حەتمەن بیری ناچێتەوە.	حەتمەن لە بیری ناچێتەو.
Honestly, that makes sense. 	دە وەڵا قسەکە مەنتیقی تێدایە	دە وەڵا قسەکە مەنتیقی تیایە	دە وەڵا قسەکە مەنتیقی تێدایە.	دە وەڵا قسەکە مەنتیقی تێدایە.	دەی وەڵا قسەکە مەنتقی تیا هەس.
He is persistent; such a persistent; no one has been created like himself.	ئینکارێکە؛ یەک ئینکارە؛ شتی وەکوو خۆی هەر دروست نەبووە.	ئینکارێکە؛ یەک ئینکارە؛ شتی وەکوو خۆی هەر دروست نەبووە.	عینادەکە؛ یەک عینادە؛ شتی وەچی خۆی هەر دروست نەبووە.	حاشاکەرێکە؛ یەک حاشاکەرە؛ شتی وەکوو خۆی هەر درووست نەبووە.	ئینکارێکە؛ یەک ئینکارە؛ چت وەک خوەی هەر درووس نەوگە.
Dear sir, alright, which one do you want?	کاکە گیان باشە کامەیانت دەوێ؟	کاکە گیان باشە کامەیانت دەوێ؟	کاکە گیان باشە کێهانیانت دەوێ؟	کاکە گیان باشە کێهەیانت دەوێ؟	کاکە گیان باشە کامیانۆ گەرەک؟
Come on, close it, just close it.	کوڕە دە دایخەرەوە کاکە دایخەرەوە	کوڕە دە دایخەرەوە کاکە دایخەرەوە	کورە قەپاتی کە کاکە قەپاتی کە	کوڕە دە دایخەوە کاکە دایخەوە	کورە دە دایخەرەو کاکە دایخەرەو
Our problem?! Let me explain it.	موشکیلەکەمان؟! با من عەرزی کەم.	موشکیلەکەمان؟! با من عەرزی کەم.	مشکیلەکەمان؟! با ئەمن عەرزی کەم.	موشکیلەکەمان؟! با ئەمن عەرزی کەم.	موشکڵەکەمان؟! با من عەرزی کەم.
I mean, why are you so cruel, Ms. Rahma?	ئەرێ تۆ بۆ ئەوەنە بێویژدانی، ڕەحمە خان؟	ئەرێ تۆ بۆ ئەوەنە بێویژدانی، ڕەحمە خان؟	ئەرێ ئەتوو لۆ ئەوەندە بێ ویژدانی، ڕەحمە خان؟	ئەدی ئەتوو بۆ ئەوەندە بێویژدانی، ڕەحمە خانم؟	ئەرێ تۆ بۆ ئەونە بێویژدانی، ڕەحمە خانم؟
The road is not being trafficked by car or anything right now.	جادەکە خۆ ئێستا سەیارە و شتی پێدا ناڕوا.	جادەکە خۆ ئێستا سەیارە و شتی پیا ناڕوا.	جادەکە خۆ ئێستا سەیارە و شتی پێدا ناڕوا.	جادەکە خۆ ئێستا ماشێن و شتی پێدا ناڕوا.	جادەکە خۆ ئیسە ماشین و چت ناچێ پیا.
Whom, you dear sir, have thought of us?	بۆ تۆ خاڵە گیان ئێمە بە کێ تێگەیشتووی؟	بۆ تۆ خاڵە گیان ئێمە بە کێ تێگەیشتووی؟	لۆ خارە ئەتوو ئەمە بە کێ تێگەیشتی؟	بۆ ئەتۆ خاڵە گیان ئەمە بە کێ تێگەیشتووی؟	بۆچە تۆ خاڵۆ گیان وازانی ئێمە کین؟
Sir, in this country, everyone is doing his job.	کاکە لەم وڵاتە هەریەکە ئیشی خۆی ئەکا.	کاکە لەم وڵاتە هەریەکە ئیشی خۆی ئەکا.	کاکە لەو وڵآتەی هەر کەسەو ئیشی خۆی دەکا.	کاکە لەم وڵاتەی هەرکەسە کاری خۆی دەکا.	کاکە لەم وڵاتە هەرکەسەو کار خوەی ئەکا.
Do you see it? See how people are wise and tasteful.	چاوت لێیە؟ ئەها خەڵک چەن ئاقڵ و چەن بە سەلیقەیە.	چاوت لێیە؟ ئەها خەڵک چەن ئاقڵ و چەن بە سەلیقەیە.	ئاگات لێیە؟ ئەها خەرک چەند ئاقر و زۆرزانە	چاوت لێیە؟ ئەها خەڵک چەند ئاقڵ و چەند بە سەلیقەیە.	چاوت ها پێیەو؟ ئەها خەڵک چەنێ ئاقڵ و چەنێ بە سەلێقەس.
Do you see it? See how people are wise and tasteful.	چاوت لێیە؟ ئەها خەڵک چەن ئاقڵ و چەن بە سەلیقەیە.	چاوت لێیە؟ ئەها خەڵک چەن ئاقڵ و چەن بە سەلیقەیە.	ئاگات لێیە؟ ئەها خەرک چەند ئاقر و زندییە	چاوت لێیە؟ ئەها خەڵک چەند ئاقڵ و چەند بە سەلیقەیە.	چاوت ها پێیەو؟ ئەها خەڵک چەنێ ئاقڵ و چەنێ بە سەلێقەس.
Who does say?	کێ ئەڵێ؟	کێ ئەڵێ؟	کێ دەرێ؟	کێ دەڵێ؟	کی ئەیژێ؟
May your table always be prosperous and open	ئەی خوا بکا هەمیشە سفرەت ئاوەدان و ئاوەڵا بێ	ئەی خوا بکا هەمیشە سفرەت ئاوەدان و ئاوەڵا بێ	ئەی یاخوا سفرەت هەر ئاوەدان بی	ئەی یاخوڵا هەمیشە سفرەت ئاوەدان و ئاوەڵا بێ	حەی خوا بکا هەمیشە سفرەو ئاوا و بەرقەرار بێ
I don't marry.	من ژن ناهێنم	من ژن ناهێنم	ئەمن ژنی ناینم	ئەمن ژن ناهێنم	من ژن ناخوازم
OK wait, Jalal and I will talk to him ourselves.	ئێ بۆستە من و جەلال خۆمان قسەی لەگەڵدا ئەکەین	ئێ بۆستە من و جەلال خۆمان قسەی لەگەڵا ئەکەین	ئێ ڕاوەستە ئەمن و جەلال بەخۆمان قسەی لەگەر دەکەین	ئێ ڕاوەستە ئەمن و جەلال بۆخۆمان قسەی دەگەڵدا دەکەین	ئێ بێسە من و جەلال خوەمان تەکیا قسە ئەکەین
And I am so miserable.	جا من ئەمەندە بەدبەختم	جا من ئەمەنە بەدبەختم	ئەوجە ئەمن ئەوەندە بەدبەختم	جا ئەمن ئەوندە بەدبەختم	جا من ئەونە بەوبەختم
Well, you have turned my house into a mess, Jamshid. 	کورە تۆ ماڵەکەی منیشت کردووەتە ئاژاولە جەمشێر	کورە تۆ ماڵەکەی منیشت کردووەتە ئاژاولە جەمشێر	کوڕە ئەتوو مارەکەی منیشت کردیتە ئاژاولە جەمشێر	کوڕە ئەتۆ ماڵەکەی منیشت کردۆتە ئاژاولە جەمشێر	کورە تۆ ماڵەکەی منیشۆ کردیەسە ئاژاوە جەمشێر
My kidney is aching, this one is for my kidney, the other one for your kidney.	ورچیلەم ئەیشێ، ئەمە بۆ ورچیلەی خۆم، ئەمیش بۆ ورچیلەی ئێوە	ورچیلەم ئەیشێ، ئەمە بۆ ورچیلەی خۆم، ئەمیش بۆ ورچیلەی ئێوە	کلیەم دێشی، ئەوە لۆ کلیەی خۆم، ئەوەش لۆ کلیەی نگۆ	کولیەم دەیشێ، ئەوە بۆ کولیەی خۆم، ئەوەیشی بۆ کولیەی نگۆ	کولیەم ئەیشێ، ئامە بۆ کولیەی خوەم، ئەمیش بۆ کولیەی ئێوە
Why did you come down?	ئێوە بۆ هاتنە خوارەوە؟	ئێوە بۆ هاتنە خوارەوە؟	ئەنگۆ لۆ هاتنە خوارێ؟	ئەنگۆ بۆ تەشریفوو هێنا خوارێ؟	ئێوە بۆچە تەشریفتان هاوردە خوارەو؟
Bravo, you don't have an accent.	ئافەرین بێ لەهجەی	ئافەرین بێ لەهجەی	ئافەرین بێ لەهجەی	ئافەرین بێ لەهجەی	ئافەرین بدوونە لەهجەی
Just wait, don't rush me.	دە بوەستە، پەلەم لێ مەکە	دە بوەستە، پەلەم لێ مەکە	ڕاوەستە ڕا، عەجەلەم لێ مەکە	ڕاوەستە ڕا، پەلەم لێ مەکە	بوێسە دەی، هەوڵم مەکە
Bring your house's deed after me.	قەباڵەی ماڵەکەی خۆت بێنە بە شوێنمدا	قەباڵەی ماڵەکەی خۆت بێنە بە شوێنما	قەبارەی مارەکەی خۆت بینە بە دوومدا	سەنەدی ماڵەکەی خۆت بێنە بە دوومدا	سەنەد ماڵەکەی خوەت بێرا شوێنما
It looks like you have reconciled.	وا دیارە ئاشت بوونەتەوە	وا دیارە ئاشت بوونەتەوە	پێ دەچی پێکهاتبنەوە	وێ دەچێ واشت بووبێتنەوە	وەکچتێ ئاشتیان بووەسەو
It was better back then, you were a bit resilient.	جاران باش بوویت، تۆزێ خۆڕاگر بوویت	جاران باش بوویت، تۆزێ خۆڕاگر بوویت	پێشتر باش بوی هەندەک خۆ ڕاگرتر بووی	جاران باش بووی، نیسکێک دەرووندار بوویت	جاران خاس بوویت، چکێ دەرووندار بوویت
I am exhausted.	لە شان و کۆڵ کەوتم	لە شان و کۆڵ کەوتم	تاقەتم نەما	داهێزام	لە شان و کۆڵ کەفتم
It's good for your bad breath, eat it.	بۆ بۆنی دەمت باشە، بیخۆ	بۆ بۆنی دەمت باشە، بیخۆ	لۆ بۆنی دەوت باشە، بیخۆ	بۆ بۆنی زارت باشە، بیخۆ	بۆ تام دەمو خاسە، بیخوە
But you have to leave from here.	بەڵام ئەبێ لێرە بڕۆی	بەڵام ئەبێ لێرە بڕۆی	بەس دەبی لێرە بڕۆی	وەلی دەبێ لێرە بڕۆی	وەلێ ئەشێ ئا لێرەو بڕی
Mr. director suggested to give me one of the main roles. 	کاکی موخریج پێشنیاری داوە یەکێ لە دەورە سەرەکییەکانم بداتێ	کاکی موخریج پێشنیاری داوە یەکێ لە دەورە سەرەکییەکانم باتێ	کاکی موخریج بڕیاری دایە یەکەک لە دەورە سەرەکیەکانم بداتێ 	ئاغەی کارگەردان پێشنەهادی داوە یەکێ لە نەقشە ئەسڵییەکانم داتێ	ئاغەی کارگەردان پێشنەهادی داگە دانێ لە نەقشە ئەسڵیەکانی با پێم
I recognize my son's smell.	من بۆنی کوڕی خۆم ئەناسم	من بۆنی کوڕی خۆم ئەناسم	ئەمن بۆنی کوڕی خۆم دەناسمەوە	ئەمن بۆنی کوڕی خۆم دەناسم	من بوی کوڕ خۆم ئەشناسم
He bothered you well.	باش عەزیەتی داون	باش عەزیەتی داون	باش عەزیەتی داینە	باش موزاحیموو بووە	خاس موزاحمتان بووە
Come in.	فەرموون	فەرموون	فەرموون	فەرموون	فەرموون
He is like a calf.	وەک گوێرەکەیە	وەک گوێرەکەیە	وەکی گۆلکیە	وەک گۆلکە	وەسە گوێرەکە
OK dear Nasrin, thanks.	باشە نەسرین گیان، دەست خۆش بێ	باشە نەسرین گیان، دەسو خۆش بێ	باشە نەسرین گیان، دەستت خۆش بی	باشە نەسرین گیان، دەستت خۆش بێ	باشە نەسرین گیان، دەسۆ خوەش بێ
Watch his tongue! It looks like bread.	سەیر زمانی ئەو! ئەڵێی نانە	سەیر زمانی ئەو! ئەڵێی نانە	تەمەشای زمانی! دەرێی نانە	چاو زمانی وی! دەڵێی نانە	ورد زوان ئەوە! ئەیژی نانە
Once twice thrice! Only you forget.	جارێک دوان سێیان! هەر تۆ لە بیر ئەکەیتەوە	جارێک دوان سێیان! هەر تۆ لە بیر ئەکەیتەوە	جارەک دوو جار سێ جار! ئەتو هەر لە بیرت دەچیتەوە	جارێکی دوو جار سێ جار! هەر ئەتۆ بیرت دەچێتەوە	ڕایک دوان سێیان! هەر تۆ لە بیرت ئەچێتەو
He is laughing with me.	خەریکە پێ ئەکەنێ لەگەڵمدا	خەریکە پێ ئەکەنێ لەگەڵما	خەریکە پێدەکەنی لەگەرم	خەریکە پێ دەکەنێ دەگەڵمدا	خەریکە ئەکەنێ تەکما
You are worse than him.	تۆش لە ئەو خراپتریت	تۆش لە ئەو خراپتریت	ئەتووش لەو خراتری	ئەتۆش لە وی خراپتری	تویش لەو خراوتریت
You cannot even walk! Get off.	تۆ هەر ناتوانی بچی بە ڕێدا! دابەزە	تۆ هەر ناتوانی بچی بە ڕێیا! دابەزە	ئەتوو هەر ناتانی بە ڕێیێ دا بڕۆی! دابەزە	ئەتۆ هەر ناتوانی بڕۆی بە ڕێدا! دابەزە	تۆ هەر ناتانی بچیتە ڕێیا! داخۆزە
Which one, sir?	کامە کاکە؟	کامە کاکە؟	کێهانیان کاکە؟	کێهە کاکە؟	کامە کاکە؟
A car came.	سەیارەیک هات	سەیارەیک هات	سەیارەک هات	ماشێنێک هات	ماشینێک هات
Thanks, welcome.	ماڵت ئاوا، بە خێر بی	ماڵت ئاوا، بە خێر بی	مارت ئاوەدان، خێردارە	ماڵت ئاوەدان، بە خێر بی	خانەت ئاوا، بە خەیر بی
What are these noise and scream and shriek all about?	ئەمە چییە زرم و زام و هەرا و قوولەقوول و فیڕەفیر؟!	ئەمە چییە زرم و زام و هەرا و قوولەقوول و فیڕەفیر؟!	ئەوە چییە جیقەجیق و هەرا و قوولەقوول و فیڕەفیڕ؟!	ئەوە چێ جیقەجیق و هەرا و قوولەقوول و فیڕەفیڕ؟!	چەس ئەمە زرم و زام و هەرا و قوولەقوول و فیڕەفیڕ؟!
Mom! What about the flower basket? Did you forget those?	دایە! ئەی سەوەتەی گوڵەکە؟ ئەوانەت لە بیر چوو؟	دایە! ئەی سەوەتەی گوڵەکە؟ ئەوانەت لە بیر چوو؟	دایە! ئەی سەلەی گوڵەکە؟ ئەوانەت لە فکر چوو؟	دایە! ئەدی سەوەتەی گوڵەکەی؟ ئەوانتە لە بیر چوون؟	دایە! ئەی سەبەد گوڵەکە؟ ئەوانتە لە بیر چوو؟
I have something to do, give it to me.	ئیشم ئەوەیە، بمدەرێ	ئیشم ئەوەیە، بمەرێ	ئیشم ئەوەیە، بمدێ	کارم ئەوەیە، بمدەیە	کارم ئەوەسە، بیە من
Don't laugh.	پێ مەکەنە	پێ مەکەنە	پێ مەکەنە	پێ مەکەنە	مەکەنە
Slowly, dear lady, slowly	ئارام دادە گیان، ئارام	ئارام دادە گیان، ئارام	سەبر دادە گیان، سەبر	ئارام دادە گیان، ئارام	ئارام دادە گیان، ئارام
Well, you don't nominate yourself?	باشە، ئێوە خۆتان کاندید ناکەن؟	باشە، ئێوە خۆتان کاندید ناکەن؟	باشە، ئەنگۆ خۆتان کاندید ناکەن؟	باشە، ئەنگۆ خۆتان کاندید ناکەن؟	باشە، ئێوە خوەتان کاندید ناکەن؟
What is bracelet, Kle?	بازنە چییە، کڵێ؟	بازنە چییە، کڵێ؟	بازنە چییە، کڵێ؟	بازنە چییە، کڵێ؟	خرخاڵ چەس، کڵێ؟
But they are guests, what can I do to them?	دەی میوانن، دەی چییان پێ بکەم؟	دەی میوانن، دەی چییان پێ بکەم؟	دە میوانن، دە چییان لێ بکەم؟	دە میوانن، دە چییان لێ بکەم؟	دەی مێوانن، دەی چەیان پێ کەم؟
Mother Mina said she has some work and would come back now.	دایە مینا وتی بڕێک ئیشم هەیە، ئێستە دێتەوە	دایە مینا وتی بڕێک ئیشم هەیە، ئێستە دێتەوە	دایە مینا گۆتی هەندەک ئیشم هەیە، ئیستا دێتەوە	دایە مینا کوتی نیسکێ کارم هەیە، ئێستە دێتەوە	دایە مینا وتی چکێ کارم هەس، ئیسە تێتەو
It's fine, eat your Dolma.	قەی ناکا دۆڵمەکەت بخۆ	قەی ناکا دۆڵمەکەت بخۆ	قەیدی ناکا دۆڵمەکەت بخۆ	قەیدێ ناکا دۆڵمەکەت بخۆ	قەی ناکا دۆڵمەکەت بخوە
Nothing much is left.	شتێکی نەماوە	شتێکی نەماوە	شتەکی نەمایە	شتێکی نەماوە	چتێکی نەماگە
But when is Nowruz?	بۆ نەورۆز کەیە؟	بۆ نەورۆز کەیە؟	لۆ نەورۆز کەنگینێیە؟	بۆ نەورۆز کەنگێیە؟	دەی نەورۆز کەیە بۆچە
It's a pity, it doesn't matter.	عەیبە، قەی ناکا	عەیبە، قەی ناکا	عەیبە، قەیدی ناکا	عەیبە، قەیدێ ناکا	شوورەییە، قەی ناکا
Just forget about it dear mother, come.	دە لێی گەڕێ دایە گیان، وەرە	دە لێی گەڕێ دایە گیان، وەرە	دە لێی گەڕێ دایە گیان، وەرە	دە لێی گەڕێ دایە گیان، وەرە	دەی وێڵی کە دایە گیان بێرەو
